Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0001,Healthcare,31,663814.21,6,2.22,9,Kanban,Mixed,4,2,2.79,Execution,Stable,0.46,0.35,1,3.33,Low,Expert,4,Excellent,0.08,1.01,Moderate,External,0.09,5.20,0.88,Critical,0.47,6,0.86,0.90,Mid-level PM,Ad-hoc,High,Good,Stable,Cost-Plus,Low,Moderate,Occasional,Formal,Formal,Hybrid,Excellent,1,3,1.03,Critical
PROJ_0002,R&D,46,601103.98,34,4.21,18,Scrum,Mixed,3,0,1.43,Execution,Moderate,0.33,0.33,1,2.19,Medium,New,3,Medium,0.34,0.52,Strong,External,0.46,9.71,0.37,Medium,1.77,4,0.67,0.49,Mid-level PM,Defined,High,Good,Poor,Fixed-Price,Medium,High,First-time,Formal,Basic,Fully Colocated,Excellent,10,9,1.00,Medium
PROJ_0003,Healthcare,44,538750.95,24,5.29,17,Scrum,Mid-level,0,4,0.19,Closure,Moderate,0.31,0.34,1,3.11,Medium,New,4,Low,0.51,1.09,Strong,Internal,0.88,6.72,0.49,High,0.33,5,0.55,0.83,Senior PM,Optimizing,High,Moderate,Stable,Cost-Plus,Low,Low,Occasional,Basic,Basic,Fully Colocated,Good,2,11,1.19,Critical
PROJ_0004,IT,22,807427.48,31,9.44,14,Hybrid,Senior,3,3,2.03,Planning,Unstable,0.24,0.99,0,6.85,Critical,Expert,1,Excellent,0.00,0.72,Weak,Government,0.88,3.17,0.40,High,2.45,3,0.77,0.22,Junior PM,Optimizing,High,Good,Stable,Cost-Plus,Medium,Low,Regular,Formal,Advanced,Hybrid,Good,10,5,1.15,Medium
PROJ_0005,R&D,35,501940.42,31,2.39,11,Kanban,Junior,0,3,0.21,Initiation,Stable,0.38,0.79,2,6.23,High,Familiar,3,Low,0.76,0.88,Weak,Government,0.93,2.90,0.64,Medium,2.91,5,0.43,0.15,Junior PM,Optimizing,Medium,Good,Moderate,Fixed-Price,Low,Low,Occasional,Advanced,Advanced,Fully Colocated,Poor,7,2,0.99,Medium
PROJ_0006,IT,20,544025.45,10,3.79,5,Waterfall,Mixed,1,4,2.81,Execution,Moderate,0.10,0.74,1,2.14,Low,Expert,1,Low,0.84,0.30,Weak,External,0.06,7.91,0.45,Critical,0.01,1,0.72,0.11,Senior PM,Ad-hoc,Medium,Excellent,Poor,Cost-Plus,Medium,High,First-time,Formal,Advanced,Fully Colocated,Excellent,2,6,1.17,Low
PROJ_0007,IT,41,696012.51,12,7.97,6,Waterfall,Mixed,4,4,0.63,Initiation,Moderate,0.44,0.30,1,6.00,High,Familiar,4,Excellent,0.74,1.01,Strong,Government,0.89,2.84,0.35,Low,2.26,8,0.42,0.69,Junior PM,Ad-hoc,Strict,Good,Moderate,Cost-Plus,High,Low,Regular,Advanced,Basic,Fully Remote,Excellent,9,1,1.18,Critical
PROJ_0008,R&D,19,156582.39,17,4.74,18,Agile,Mixed,4,4,0.56,Initiation,Unstable,0.04,0.42,3,1.29,Low,Familiar,4,Medium,0.59,0.39,Weak,External,0.23,3.25,0.39,Low,0.30,4,0.70,0.70,Mid-level PM,Optimizing,Low,Poor,Poor,Cost-Plus,Medium,Low,Strategic,Formal,Basic,Fully Remote,Basic,6,1,1.02,High
PROJ_0009,R&D,32,2930193.37,19,5.71,17,Hybrid,Junior,1,1,0.22,Planning,Stable,0.46,0.53,1,3.50,Medium,Expert,2,High,0.06,0.90,Weak,Internal,0.64,9.75,0.42,Low,0.88,2,0.81,0.89,Senior PM,Optimizing,High,Poor,Poor,Fixed-Price,Medium,High,Occasional,Formal,Basic,Fully Remote,Basic,6,4,1.07,High
PROJ_0010,Healthcare,15,115685.70,6,6.98,8,Hybrid,Junior,1,0,1.00,Planning,Unstable,0.37,0.85,1,5.61,Medium,New,4,Low,0.17,0.99,Weak,Mixed,0.69,2.53,0.54,Medium,0.84,0,0.80,0.67,Junior PM,Defined,Medium,Poor,Poor,Cost-Plus,Low,Extreme,Regular,Basic,None,Fully Remote,Poor,8,8,0.93,Low
